"Dataset","Chemical","CAS","KE1_call","KE2_call","KE3_call","LLNA_call","KE1_metric","KS_call","LuSens_call","hCLAT_call","USENS_call","LLNA_EC3"
"ICE","Benzyl cinnamate","103-41-3","0.0","1.0","1.0","","","Active","","Inactive","Active","18.4"
"ICE","Methyl methanesulfonate","66-27-3","1.0","1.0","1.0","","","Active","","Inactive","Active","8.1"
"ICE","Benzyl salicylate","118-58-1","0.0","1.0","1.0","1.0","","Active","","Inactive","Active","2.8499999999999996"
"ICE","Isopropyl tetradecanoate","110-27-0","0.0","0.0","1.0","","","Inactive","","Active","Inactive","44.0"
"ICE","Ethyl acrylate","140-88-5","1.0","1.0","1.0","1.0","","Active","Active","Inactive","Active","28.35"
"ICE","Nickel chloride","7718-54-9","1.0","1.0","1.0","0.0","","Active","Inactive","Active","","5.5"
"ICE","Xylenes","1330-20-7","0.0","0.0","1.0","1.0","","Inactive","Inactive","Active","Inactive","95.8"
"ICE","2-Ethylhexyl acrylate","103-11-7","1.0","1.0","1.0","1.0","40.175000000000004","Active","Active","Active","Inactive","23.25"
"ICE","Benzoyl peroxide","94-36-0","1.0","0.0","1.0","","90.65","Inactive","Inactive","Inactive","Active","0.0137"
"ICE","Butyl glycidyl ether","2426-08-6","1.0","1.0","1.0","1.0","39.4","Active","Active","Inactive","Active","29.45"
"ICE","Cyclamen aldehyde","103-95-7","1.0","1.0","1.0","","9.625","Active","","Inactive","Active","22.3"
"ICE","2-Ethylbutyraldehyde","97-96-1","1.0","1.0","1.0","1.0","57.35","Active","","Active","Inactive","72.1"
"ICE","Ethylenediamine","107-15-3","1.0","1.0","1.0","","1.7","Active","Inactive","Active","Active","2.2"
"ICE","Eugenol","97-53-0","1.0","1.0","1.0","1.0","21.0","Active","Active","Active","Active","12.9"
"ICE","(E,E)-Farnesal","502-67-0","1.0","1.0","1.0","","14.525","Active","Inactive","Active","Inactive","12.0"
"ICE","Isoeugenol","97-54-1","1.0","1.0","1.0","1.0","50.0","Active","Active","Active","Active","1.35"
"ICE","2-(4-Tert-Butylbenzyl)propionaldehyde","80-54-6","1.0","0.0","1.0","1.0","3.875","Inactive","","Active","Active","18.85"
"ICE","Methyl salicylate","119-36-8","1.0","1.0","0.0","0.0","3.15","Active","Active","Inactive","Inactive","18.25"
"ICE","Oxalic acid","144-62-7","0.0","1.0","1.0","","0.225","Active","","Active","Inactive","6.3"
"ICE","2-(Phenylmethylene)octanal","101-86-0","0.0","1.0","1.0","1.0","0.3","Active","Active","Active","Active","9.55"
"ICE","Phthalic anhydride","85-44-9","1.0","1.0","1.0","1.0","30.75","Active","Inactive","Inactive","Active","0.16"
"ICE","Pyridine","110-86-1","0.0","0.0","1.0","","0.375","Inactive","Inactive","Active","Inactive","72.0"
"ICE","Resorcinol","108-46-3","1.0","0.0","1.0","1.0","3.6999999999999997","Inactive","Inactive","Active","Active","5.71"
"ICE","1-Bromohexane","111-25-1","1.0","1.0","0.0","","23.175","Active","","Inactive","Inactive","10.0"
"ICE","Salicylic acid","69-72-7","1.0","0.0","1.0","0.0","4.175","Inactive","Inactive","Active","Inactive","12.2"
"ICE","Sodium dodecyl sulfate","151-21-3","1.0","1.0","1.0","1.0","24.25","Active","Inactive","Active","Active","4.2"
"ICE","Trimellitic anhydride","552-30-7","1.0","0.0","1.0","","21.85","Inactive","","Active","Inactive","0.19"
"ICE","alpha-Amylcinnamaldehyde","122-40-7","0.0","1.0","1.0","","2.25","Active","","Active","Active","10.6"
"ICE","2-Methoxy-4-methylphenol","93-51-6","1.0","0.0","1.0","1.0","7.225","Inactive","","Active","Active","5.6"
"ICE","3-Propylidenephthalide","17369-59-4","1.0","0.0","1.0","","14.375","Inactive","","Active","Inactive","3.7"
"ICE","3,4-Dihydrocoumarin","119-84-6","1.0","0.0","1.0","","19.85","Inactive","","Active","Inactive","4.449999999999999"
"ICE","Estragole","140-67-0","1.0","1.0","1.0","1.0","27.0","Active","Inactive","Active","Inactive","19.1"
"ICE","Abietic acid","514-10-3","1.0","1.0","1.0","","58.05","Active","","Inactive","Active","15.0"
"ICE","Benzalkonium chloride","8001-54-5","0.0","0.0","1.0","0.0","1.4","Inactive","","Inactive","Active","0.1"
"ICE","Benzocaine","94-09-7","1.0","1.0","1.0","","10.35","Active","","Active","Active","3.4"
"ICE","4-Nitrobenzylbromide","100-11-8","1.0","1.0","1.0","","61.55","Active","Active","Active","Inactive","0.05"
